instance,seed,cutoff,size,ref,rel_err,valid,wall_time
large11,1,60,990,989,0.0010,1,60.2435
large11,2,60,990,989,0.0010,1,60.4018
large11,3,60,990,989,0.0010,1,60.1347
large11,4,60,990,989,0.0010,1,60.3759
large11,5,60,990,989,0.0010,1,60.1715
large11,6,60,990,989,0.0010,1,60.3105
large11,7,60,990,989,0.0010,1,60.2287
large11,8,60,990,989,0.0010,1,60.1001
large11,9,60,990,989,0.0010,1,60.3050
large11,10,60,990,989,0.0010,1,60.3163
large11,11,60,990,989,0.0010,1,60.0851
large11,12,60,990,989,0.0010,1,60.1501
large11,13,60,990,989,0.0010,1,60.1449
large11,14,60,990,989,0.0010,1,60.2822
large11,15,60,990,989,0.0010,1,60.2150
large11,16,60,990,989,0.0010,1,60.1030
large11,17,60,990,989,0.0010,1,60.3289
large11,18,60,990,989,0.0010,1,60.3925
large11,19,60,990,989,0.0010,1,60.3305
large11,20,60,990,989,0.0010,1,60.3830
large11,21,60,989,989,0.0000,1,60.2101
large11,22,60,990,989,0.0010,1,60.1696
large11,23,60,990,989,0.0010,1,60.0767
large11,24,60,991,989,0.0020,1,60.5371
large11,25,60,990,989,0.0010,1,60.2628
large11,26,60,991,989,0.0020,1,60.1561
large11,27,60,990,989,0.0010,1,60.4840
large11,28,60,991,989,0.0020,1,60.1218
large11,29,60,990,989,0.0010,1,60.5058
large11,30,60,990,989,0.0010,1,60.0981
large11,31,60,990,989,0.0010,1,60.4425
large11,32,60,990,989,0.0010,1,60.5181
large11,33,60,990,989,0.0010,1,60.2812
large11,34,60,990,989,0.0010,1,60.1393
large11,35,60,990,989,0.0010,1,60.3165
large11,36,60,990,989,0.0010,1,60.2887
large11,37,60,990,989,0.0010,1,60.2052
large11,38,60,991,989,0.0020,1,60.3461
large11,39,60,990,989,0.0010,1,60.4189
large11,40,60,990,989,0.0010,1,60.2539
large11,41,60,990,989,0.0010,1,60.3886
large11,42,60,990,989,0.0010,1,60.3512
large11,43,60,990,989,0.0010,1,60.1508
large11,44,60,990,989,0.0010,1,60.1444
large11,45,60,990,989,0.0010,1,60.2825
large11,46,60,990,989,0.0010,1,60.2522
large11,47,60,990,989,0.0010,1,60.3593
large11,48,60,990,989,0.0010,1,60.0643
large11,49,60,989,989,0.0000,1,60.0888
large11,50,60,990,989,0.0010,1,60.1100
large12,1,60,1440,1438,0.0014,1,60.2273
large12,2,60,1441,1438,0.0021,1,60.1373
large12,3,60,1441,1438,0.0021,1,60.2753
large12,4,60,1440,1438,0.0014,1,60.1563
large12,5,60,1441,1438,0.0021,1,60.2753
large12,6,60,1439,1438,0.0007,1,60.5938
large12,7,60,1443,1438,0.0035,1,60.4336
large12,8,60,1440,1438,0.0014,1,60.1620
large12,9,60,1441,1438,0.0021,1,60.1631
large12,10,60,1442,1438,0.0028,1,60.4842
large12,11,60,1440,1438,0.0014,1,60.8663
large12,12,60,1438,1438,0.0000,1,60.6389
large12,13,60,1438,1438,0.0000,1,60.4803
large12,14,60,1440,1438,0.0014,1,60.1882
large12,15,60,1443,1438,0.0035,1,60.3088
